# ID	X	Y
EA	180.06	3644.28
EB	1365.99	3642.40
EC	771.02	3054.24
ED	172.40	2463.92
EE	1356.85	2460.01
FA	2306.90	3640.19
FB	3489.49	3634.26
FC	2894.88	3043.59
FD	2300.83	2454.20
FE	3484.12	2449.31
GA	2297.23	1466.82
GB	3478.49	1463.65
GC	2883.75	874.56
GD	2294.58	283.80
GE	3476.74	280.72
HA	169.73	1477.52
HB	1352.03	1474.80
HC	761.78	883.29
HD	166.09	292.94
HE	1349.87	285.62
