# COMMEXPTIME ACTEXPTIME
0.100 0.131
0.500 0.527
0.975 1.007
1.300 1.331
1.625 1.654
2.500 2.519
3.250 3.286
3.500 3.526
4.550 4.585
5.000 5.034
5.200 5.234
5.525 5.556
5.850 5.889
6.175 6.212
6.500 6.537
7.150 7.187
10.000 10.038
15.000 15.035
25.000 25.037
50.000 50.039
75.000 75.036
100.000 100.000
