# COMMEXPTIME  ACTEXPTIME
0.      0.
0.1 	0.105
0.5	    0.504
0.975	0.978
1.3	    1.303
1.625	1.633
2.5	    2.507
3.25	3.253
3.5	    3.503
4.55	4.562
5	    5.010
5.2	    5.210
5.525	5.529
5.85	5.854
6.175	6.184
6.5	    6.507
7.15	7.159
10	    10.010
15	    15.010
25	    25.007
50	    50.006
75	    75.006
100	    99.990
200.    200.
500.    500.
1000.   1000.
10000.  10000.
